"userid","id","from_visit","to_visit","place_id","visit_date","visit_type","session","mobile","mobile_ime","ipaddress","latitude","longitude","url_link","network","device","browse1","browse2","visit_count","social","up_count","down_count","web_qry","level","percent"
"BAB50-C0DD-3523D",38,"12:27","12:39",8,"2021-11-27",4,34,"6680325694","349032824488688","192.215.246.34","10.3680","77.7011","https://www.w3schools.com /html/tryit.asp?filename= tryhtml5_geolocation","BSNL",2,"Internet Explorer","Android Browser",64,"Facebook",22,1,"web technologies","Moderate",41.8103448275862
"CA6ED-7B1B-57A4F",39,"6:32","7:9",5,"2021-11-29",4,12,"7891269199","757193652955976","192.103.56.210","11.5115","80.2736","https://github.com/harvar dnlp/im2markup","Jio",3,"Internet Explorer","Android Browser",47,"Twitter, Youtube, LinkedIn",8,23,"web technologies","Moderate",43.4977578475336
"BAB50-C0DD-3523D",40,"3:17","4:13",9,"2021-12-04",1,27,"6680325694","349032824488688","192.73.193.30","10.8332","78.8622","http://members.tripod.com /~chaz16/3.html","Vodafone",1,"Opera","Internet Explorer",50,"Twitter",11,2,"tripod members starchan","Moderate",41.8103448275862
"83FEF-5CDB-E7FFD",41,"21:18","22:3",7,"2021-11-30",7,15,"6518457740","964635411881574","192.250.175.173","11.5858","80.7974","https://gfycat.com/fetch","Airtel",1,"Chrome","Android Browser",52,"Whatsapp, Google, LinkedIn",32,16,"online examination","Yes",37.10407239819
"83FEF-5CDB-E7FFD",42,"13:55","14:48",21,"2021-12-03",13,27,"6518457740","964635411881574","192.55.30.231","10.2970","80.2184","http://localhost/appconte st/","Airtel",2,"Chrome","BlackBerry",59,"Whatsapp",24,46,"app development tutorial","Yes",37.10407239819
"42373-2D80-364D0",43,"8:50","9:19",10,"2021-12-04",13,21,"6826592916","551609031324661","192.185.217.2","10.9539","78.5453","https://web.facebook.com/ ruetcsememes/","Airtel",2,"Firefox","BlackBerry",36,"Twitter, Google",38,4,"covid 19 affected in india","Yes",34.1463414634146
"E56CD-C315-7CC77",44,"5:45","6:45",2,"2021-12-05",3,16,"6504744692","309982927235824","192.146.24.69","11.4207","77.8618","https://www.hackerrank.co m/jobs/search","Airtel",1,"Opera","BlackBerry",67,"Facebook, Google, TikTok",46,40,"how to buy cloud space ","Yes",31.4159292035398
"83FEF-5CDB-E7FFD",45,"7:1","7:22",6,"2021-12-06",5,33,"6518457740","964635411881574","192.45.76.114","10.3129","77.8999","https://www.youtube.com/w atch?v=cCnxv2h15Tc&featur e=youtu.be","BSNL",2,"Safari","Internet Explorer",52,"Facebook, Instagram, LinkedIn",48,37,"game download","Yes",37.10407239819
"C7520-836C-A1472",46,"17:21","18:11",12,"2021-12-03",1,36,"6595035885","858167612619769","192.128.154.207","11.7812","79.6134","http://www.geocities.com/ roryheadmav/main.html","Jio",3,"Firefox","Android Browser",38,"Facebook, Google",28,5,"roryheadmav","Moderate",41.3145539906103
"1458A-BF33-B8424",47,"3:46","4:25",10,"2021-12-04",3,24,"8378841539","758568075794728","192.249.41.78","10.9855","79.2840","https://www.hackerrank.co m/jobs/search","Jio",1,"Internet Explorer","BlackBerry",42,"Twitter, Google",43,2,"how to buy cloud space ","Yes",37.2641509433962
"C7520-836C-A1472",48,"16:19","16:48",8,"2021-11-28",1,38,"6595035885","858167612619769","192.90.91.58","11.4334","78.5173","http://www.geocities.com/ obsidianblaze/","Airtel",3,"Safari","Safari (in-app)",37,"Whatsapp, Instagram",5,25,"obsidianblaze","Moderate",41.3145539906103
"3C431-0504-8BB6C",49,"9:19","9:48",5,"2021-11-27",9,19,"7644983122","923974685319478","192.211.73.243","10.2140","79.5946","https://www.linkedin.com/ messaging/thread/63528533 47023843328/","Airtel",3,"Safari","BlackBerry",67,"Whatsapp",10,1,"temple rework","Yes",37.4449339207048
"CC4FB-160A-5C245",50,"6:11","7:9",22,"2021-12-06",2,18,"8905366896","111473011332166","192.167.63.24","11.3754","77.2539","http://crackedmax.com/win edt-10-2-crack-full-versi on/","Airtel",1,"Internet Explorer","Chrome",34,"Whatsapp, Youtube, Snapchat",1,15,"dance master","Yes",37.1980676328502
"C7520-836C-A1472",51,"3:35","4:11",8,"2021-11-28",5,15,"6595035885","858167612619769","192.161.217.174","11.8309","77.2823","https://shoppurplehaze.co m/giftloyalty/admin/repor ts/transactionhistory.php","BSNL",1,"Firefox","Internet Explorer",37,"Whatsapp",34,13,"online game","Moderate",41.3145539906103
"4020A-B6A7-FAA55",52,"20:24","21:18",9,"2021-12-06",4,38,"6263256529","764701507641452","192.22.137.66","11.7195","80.1565","https://web.facebook.com/ search/top/?q=Shatil%20cs e%20ruet","Airtel",3,"Chrome","BlackBerry",49,"Facebook, Instagram",10,27,"IOT and embedded","Moderate",44.6511627906977
"CC4FB-160A-5C245",53,"1:55","2:44",15,"2021-12-04",5,16,"8905366896","111473011332166","192.223.8.191","10.4019","80.7149","https://archive.ics.uci.e du/ml/machine-learning-da tabases/00327/","Jio",1,"Opera","BlackBerry",30,"Whatsapp, Instagram, TikTok",19,23,"game download","Yes",37.1980676328502
"CA6ED-7B1B-57A4F",54,"17:44","18:9",15,"2021-11-30",2,22,"7891269199","757193652955976","192.135.142.236","11.2341","77.8188","https://archive.org/detai ls/webserverlogs?&sort=-d ownloads&page=2","BSNL",2,"Opera","Chrome",53,"Whatsapp",48,31,"music apps download","Moderate",43.4977578475336
"CA6ED-7B1B-57A4F",55,"7:7","7:46",16,"2021-11-29",6,30,"7891269199","757193652955976","192.59.179.20","10.5701","77.5442","https://www.hackerearth.c om/challenge/competitive/ february-sql-challenge-20 18/add-information/","Airtel",3,"Opera","Internet Explorer",40,"Whatsapp",0,8,"cancer diseases and symptoms","Moderate",43.4977578475336
"CA6ED-7B1B-57A4F",56,"16:9","16:35",20,"2021-12-06",7,11,"7891269199","757193652955976","192.17.153.148","10.7854","78.5926","https://web.facebook.com/ search/str/shatil+ahmed/k eywords_search","Jio",2,"Safari","UC Browser",58,"Twitter, Instagram, Snapchat",10,26,"online ebooks","Moderate",43.4977578475336
"C7520-836C-A1472",57,"13:37","14:5",6,"2021-11-28",12,21,"6595035885","858167612619769","192.213.245.239","10.2842","78.6193","https://houxianxu.github. io/2015/04/23/logistic-so ftmax-regression/","Airtel",3,"Chrome","Chrome",51,"Facebook, Youtube",43,34,"dress shopping","Moderate",41.3145539906103
"CA6ED-7B1B-57A4F",58,"14:46","15:1",17,"2021-12-01",6,11,"7891269199","757193652955976","192.174.108.161","11.4519","77.1237","https://shoppurplehaze.co m/giftloyalty/admin/custo mers/searchcustomer.php","Jio",2,"Internet Explorer","Safari (in-app)",59,"Facebook, Instagram, LinkedIn",44,5,"covid 19 information","Moderate",43.4977578475336
"C7520-836C-A1472",59,"12:21","12:58",9,"2021-12-05",3,12,"6595035885","858167612619769","192.174.200.142","11.6670","80.3143","https://www.youtube.com/w atch?v=z0qhKP2liHs","Airtel",2,"Safari","BlackBerry",64,"Whatsapp",28,26,"cooking orders","Moderate",41.3145539906103
"42373-2D80-364D0",60,"1:20","1:54",15,"2021-12-02",1,18,"6826592916","551609031324661","192.147.183.165","10.5885","78.7299","http://www.gaytoon-japan. com","Airtel",1,"Safari","Android Browser",49,"Whatsapp, Youtube",30,34,"gaytoon japan","Yes",34.1463414634146
"E56CD-C315-7CC77",61,"21:46","22:31",23,"2021-11-29",4,27,"6504744692","309982927235824","192.105.90.64","11.1399","78.9488","http://localhost/map/goog lemap.php","BSNL",2,"Internet Explorer","BlackBerry",56,"Facebook",5,7,"cloud computing usage","Yes",31.4159292035398
"E56CD-C315-7CC77",62,"15:14","15:34",25,"2021-12-06",1,35,"6504744692","309982927235824","192.126.229.68","11.1642","78.9197","http://totchi.tripod.com/","Jio",2,"Chrome","Chrome",40,"Twitter, Google, Snapchat",12,47,"totchi tripod","Yes",31.4159292035398
"CA6ED-7B1B-57A4F",63,"9:3","9:51",25,"2021-11-28",7,38,"7891269199","757193652955976","192.26.5.185","11.4778","77.9061","https://www.udebug.com/sh akilruet","Airtel",2,"Safari","Safari (in-app)",48,"Twitter",7,34,"online ebooks","Moderate",43.4977578475336
"CA6ED-7B1B-57A4F",64,"7:49","8:38",23,"2021-11-29",1,38,"7891269199","757193652955976","192.33.89.107","11.4905","79.2150","http://www.animehouse.com /","BSNL",2,"Chrome","Chrome",54,"Facebook, Youtube, Snapchat",18,30,"animehouse","Moderate",43.4977578475336
"CC4FB-160A-5C245",65,"9:56","10:17",14,"2021-12-01",4,17,"8905366896","111473011332166","192.241.251.87","11.1912","79.2065","https://archive.ics.uci.e du/ml/machine-learning-da tabases/iris/","Airtel",2,"Internet Explorer","Safari (in-app)",36,"Whatsapp",19,45,"mobile applications","Yes",37.1980676328502
"BAB50-C0DD-3523D",66,"17:23","18:12",12,"2021-11-27",5,15,"6680325694","349032824488688","192.129.9.254","11.2346","78.5569","https://www.youtube.com/w atch?v=cCnxv2h15Tc&featur e=youtu.be","Vodafone",3,"Chrome","Chrome",49,"Facebook, Google",1,48,"game download","Moderate",41.8103448275862
"CC4FB-160A-5C245",67,"14:3","14:48",5,"2021-11-30",12,29,"8905366896","111473011332166","192.192.76.245","10.7196","78.7331","https://houxianxu.github. io/2015/04/23/logistic-so ftmax-regression/","Vodafone",1,"Internet Explorer","Internet Explorer",62,"Facebook",23,50,"dress shopping","Yes",37.1980676328502
"CA6ED-7B1B-57A4F",68,"13:48","14:10",23,"2021-12-05",1,37,"7891269199","757193652955976","192.31.144.176","10.4079","77.8317","http://death_of_ase.tripo d.com/dt/twisteddesire.ht ml","Vodafone",2,"Safari","Safari (in-app)",56,"Whatsapp, Google",31,45,"death of asetripod","Moderate",43.4977578475336
"3C431-0504-8BB6C",69,"11:9","11:43",24,"2021-11-29",12,30,"7644983122","923974685319478","192.186.159.103","10.1430","80.7017","https://python.howtocode. com.bd/more-list-opt.html","Jio",1,"Internet Explorer","BlackBerry",45,"Facebook, Google, Snapchat",20,32,"medicine shopping","Yes",37.4449339207048
"3C431-0504-8BB6C",70,"1:9","1:33",13,"2021-11-27",9,10,"7644983122","923974685319478","192.72.58.6","10.7243","80.8071","https://mail.zoho.com/","Airtel",1,"Opera","Android Browser",62,"Facebook, Youtube, TikTok",36,12,"house infrastructure","Yes",37.4449339207048
"E56CD-C315-7CC77",71,"14:17","14:57",7,"2021-11-29",3,25,"6504744692","309982927235824","192.7.213.9","10.3976","77.5125","https://www.hackerrank.co m/challenges/swap-case/pr oblem","Airtel",2,"Internet Explorer","Chrome",67,"Twitter, Youtube",17,13,"marketing agencies","Yes",31.4159292035398
"83FEF-5CDB-E7FFD",72,"8:22","9:8",13,"2021-12-05",8,36,"6518457740","964635411881574","192.227.49.26","11.4316","79.5389","http://deloton.com/afu.ph p?zoneid=1365143&var=1502 161","Vodafone",1,"Chrome","BlackBerry",65,"Whatsapp, Youtube, Snapchat",40,0,"election news in kerala","Yes",37.10407239819
"42373-2D80-364D0",73,"9:3","9:35",17,"2021-12-05",1,36,"6826592916","551609031324661","192.23.105.68","11.7444","78.4329","http://www.angelfire.com/ me3/mandaplay/index.html","BSNL",1,"Safari","UC Browser",46,"Whatsapp, Instagram, Snapchat",3,38,"mandaplay","Yes",34.1463414634146
"3C431-0504-8BB6C",74,"3:16","3:31",8,"2021-12-03",3,37,"7644983122","923974685319478","192.249.30.67","10.6345","79.4148","http://codeforces.com/use rtalk/with/xxv","Airtel",2,"Chrome","Android Browser",49,"Facebook, Google",19,43,"jewells shop","Yes",37.4449339207048
"BAB50-C0DD-3523D",75,"3:47","4:25",15,"2021-12-06",3,40,"6680325694","349032824488688","192.195.148.204","10.5005","80.4726","https://web.facebook.com/ events/561372077532093/?a ctive_tab=about","Airtel",2,"Firefox","UC Browser",47,"Facebook",5,15,"online shopping ","Moderate",41.8103448275862
"CC4FB-160A-5C245",76,"3:42","3:52",13,"2021-12-03",6,34,"8905366896","111473011332166","192.224.147.231","10.7971","79.9044","https://vjudge.net/contes t/212406","BSNL",1,"Internet Explorer","Android Browser",37,"Whatsapp, Google",14,31,"heart speciality hospitals in tamilnadu","Yes",37.1980676328502
"4020A-B6A7-FAA55",77,"3:38","4:11",3,"2021-12-01",1,14,"6263256529","764701507641452","192.166.109.179","11.1877","77.3385","http://www.orchidveil.net /trapdoor/","Vodafone",2,"Safari","BlackBerry",61,"Twitter",30,44,"orchideil","Moderate",44.6511627906977
"4020A-B6A7-FAA55",78,"17:4","17:53",22,"2021-11-30",1,18,"6263256529","764701507641452","192.47.85.177","11.5057","79.2349","http://death_of_ase.tripo d.com/dt/twisteddesire.ht ml","Jio",3,"Internet Explorer","Android Browser",50,"Facebook",49,15,"death of asetripod","Moderate",44.6511627906977
"BAB50-C0DD-3523D",79,"16:59","17:48",24,"2021-12-04",1,10,"6680325694","349032824488688","192.251.224.49","10.4476","77.2473","http://www.discarnate.com /boysnextdoor/","BSNL",2,"Chrome","Chrome",57,"Whatsapp, Youtube, TikTok",17,15,"boysnextdoor","Moderate",41.8103448275862
"CC4FB-160A-5C245",80,"8:57","9:32",12,"2021-11-27",1,34,"8905366896","111473011332166","192.26.187.189","10.7183","78.2513","http://www.discarnate.com /boysnextdoor/","Airtel",3,"Internet Explorer","BlackBerry",38,"Twitter",50,0,"boysnextdoor","Yes",37.1980676328502
"E56CD-C315-7CC77",81,"7:32","8:9",23,"2021-11-30",13,37,"6504744692","309982927235824","192.142.57.112","11.6304","80.6143","https://web.facebook.com/ MekTekBD/inbox/","Vodafone",3,"Opera","UC Browser",62,"Twitter, Youtube",17,29,"villege complaints","Yes",31.4159292035398
"42373-2D80-364D0",82,"9:24","9:45",3,"2021-11-27",7,40,"6826592916","551609031324661","192.194.223.233","11.1855","77.1237","https://gfycat.com/upload","Vodafone",2,"Chrome","UC Browser",68,"Facebook, Youtube, LinkedIn",14,49,"online ebooks","Yes",34.1463414634146
"E56CD-C315-7CC77",83,"16:16","16:44",4,"2021-11-28",4,24,"6504744692","309982927235824","192.224.189.19","10.2126","77.1932","https://www.youtube.com/w atch?v=RJef6ruAza8","Airtel",3,"Firefox","Android Browser",56,"Whatsapp, Instagram",18,6,"Artificial intelligence functionalites","Yes",31.4159292035398
"3C431-0504-8BB6C",84,"4:45","5:28",8,"2021-12-04",5,26,"7644983122","923974685319478","192.202.138.243","10.8242","80.6743","https://imgur.com/vidgif/ video?url=https%3A%2F%2Fw ww.youtube.com%2Fwatch%3F v%3DewKKITq_ROs%26feature %3Dyoutu.be","Jio",1,"Opera","Android Browser",55,"Twitter, Google, TikTok",31,36,"football game players","Yes",37.4449339207048
"E56CD-C315-7CC77",85,"9:56","10:50",13,"2021-11-27",3,20,"6504744692","309982927235824","192.134.186.230","11.9779","78.1447","https://www.hackerrank.co m/jobs/search","Vodafone",2,"Opera","UC Browser",63,"Facebook",14,33,"how to buy cloud space ","Yes",31.4159292035398
"4020A-B6A7-FAA55",86,"4:31","4:51",8,"2021-11-29",1,32,"6263256529","764701507641452","192.202.138.194","11.4655","80.9300","http://www.gongaga.com/","Jio",2,"Chrome","Safari (in-app)",39,"Twitter, Youtube, Snapchat",24,16,"gongaga","Moderate",44.6511627906977
"1458A-BF33-B8424",87,"18:24","18:39",12,"2021-11-28",2,24,"8378841539","758568075794728","192.72.203.189","11.6998","79.6509","https://web.facebook.com/ profile.php?id=1000086450 53781&sk=wall","Airtel",1,"Safari","Android Browser",48,"Whatsapp",31,42,"music director appointments","Yes",37.2641509433962
"42373-2D80-364D0",88,"18:38","19:34",17,"2021-12-04",3,22,"6826592916","551609031324661","192.102.241.209","10.9908","79.5861","https://www.coursera.org/ learn/python/supplement/W lvLt/reading-welcome-to-t he-class","Airtel",1,"Opera","UC Browser",45,"Facebook, Google",7,24,"react js course fee","Yes",34.1463414634146
"42373-2D80-364D0",89,"16:0","16:55",10,"2021-11-29",13,22,"6826592916","551609031324661","192.169.23.253","11.1908","80.1871","https://forum.floydhub.co m/t/how-to-use-floyd-cli- when-your-computer-is-beh ind-a-proxy/87/2","Vodafone",3,"Chrome","Chrome",49,"Twitter, Google, LinkedIn",42,2,"villege complaints","Yes",34.1463414634146
